PERMNO,date,TICKER,VOL,RET
76568,12/16/2009,SONC,448441,0.00687
76568,12/17/2009,SONC,288162,-0.013645
76568,12/18/2009,SONC,1265634,-0.002964
76568,12/21/2009,SONC,432240,0.022795
76568,12/22/2009,SONC,305553,0.007752
76568,12/23/2009,SONC,184522,0.015385
76568,12/24/2009,SONC,212272,0.004735
76568,12/28/2009,SONC,248900,-0.00754
76568,12/29/2009,SONC,215709,0.007597
76568,12/30/2009,SONC,437752,-0.01885
76568,12/31/2009,SONC,864570,-0.032661
76568,1/4/2010,SONC,759771,0.021847
76568,1/5/2010,SONC,888134,-0.003887
76568,1/6/2010,SONC,6754285,-0.130732
76568,1/7/2010,SONC,2032954,-0.025814
76568,1/8/2010,SONC,1411107,-0.009217
76568,1/11/2010,SONC,1355876,-0.00814
76568,1/12/2010,SONC,1338222,0.010551
76568,1/13/2010,SONC,929907,0.00348
76568,1/14/2010,SONC,793198,0.010405
76568,1/15/2010,SONC,1421855,0.006865
76568,1/19/2010,SONC,1018907,0.018182
76568,1/20/2010,SONC,1166697,0.002232
76568,1/21/2010,SONC,1051288,-0.024499
76568,1/22/2010,SONC,687371,-0.010274
76568,1/25/2010,SONC,1063941,-0.012687
76568,1/26/2010,SONC,958750,-0.004673
76568,1/27/2010,SONC,938043,-0.002347
76568,1/28/2010,SONC,639968,-0.008235
76568,1/29/2010,SONC,573615,0
76568,2/1/2010,SONC,639263,0.013049
76568,2/2/2010,SONC,526462,-0.007026
76568,2/3/2010,SONC,478418,-0.012972
76568,2/4/2010,SONC,603418,-0.02509
76568,2/5/2010,SONC,425897,0.003676
76568,2/8/2010,SONC,546026,0.002442
76568,2/9/2010,SONC,770543,0.010962
76568,2/10/2010,SONC,413785,0.003614
76568,2/11/2010,SONC,659968,0.002401
76568,2/12/2010,SONC,652260,0.002395
76568,2/16/2010,SONC,389152,0.008363
76568,2/17/2010,SONC,511483,0.013033
76568,2/18/2010,SONC,408153,-0.005848
76568,2/19/2010,SONC,616104,-0.011765
76568,2/22/2010,SONC,463618,0.003572
76568,2/23/2010,SONC,580599,-0.003559
76568,2/24/2010,SONC,601481,-0.008333
76568,2/25/2010,SONC,610748,0.001201
76568,2/26/2010,SONC,700709,0.017986
76568,3/1/2010,SONC,735125,-0.003534
76568,3/2/2010,SONC,618838,-0.004728
76568,3/3/2010,SONC,1193013,-0.007126
76568,3/4/2010,SONC,907070,0.008373
76568,3/5/2010,SONC,987031,0.021352
76568,3/8/2010,SONC,946724,-0.006969
76568,3/9/2010,SONC,1909523,0.050292
76568,3/10/2010,SONC,5009448,0.100223
76568,3/11/2010,SONC,3332581,0.037449
76568,3/12/2010,SONC,1783242,0.014634
76568,3/15/2010,SONC,1043171,0.008654
76568,3/16/2010,SONC,4886539,0.056244
76568,3/17/2010,SONC,1516925,0.002708
76568,3/18/2010,SONC,1127280,0.0036
76568,3/19/2010,SONC,1517424,0.003587
76568,3/22/2010,SONC,1253912,-0.007149
76568,3/23/2010,SONC,1807651,0.007201
76568,3/24/2010,SONC,6123304,-0.02681
76568,3/25/2010,SONC,3285178,0.019284
76568,3/26/2010,SONC,1440374,0.005405
76568,3/29/2010,SONC,843443,0
